Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
22347,VANDE BHARAT EXP,HOWRAH JN,HWH,6,ECR
22347,VANDE BHARAT EXP,DURGAPUR,DGR,20,ECR
22347,VANDE BHARAT EXP,ASANSOL JN,ASN,24,ECR
22347,VANDE BHARAT EXP,JAMTARA,JMT,28,ECR
22347,VANDE BHARAT EXP,JASIDIH JN,JSME,40,ECR
22347,VANDE BHARAT EXP,LUCKEESARAI JN,LKR,18,ECR
22347,VANDE BHARAT EXP,MOKAMEH JN,MKA,26,ECR
22347,VANDE BHARAT EXP,BAKHTIYARPUR JN,BKP,34,ECR
22347,VANDE BHARAT EXP,PATNA SAHEB,PNC,40,ECR
22347,VANDE BHARAT EXP,PATNA JN,PNBE,17,ECR
