Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01004,SWV DR SPL,CHOPAN,CPU,0,CR
01004,SWV DR SPL,AGORI KHAS,AGY,0,CR
01004,SWV DR SPL,CHURK,CUK,0,CR
01004,SWV DR SPL,SONBHADRA,SBDR,0,CR
01004,SWV DR SPL,KHAIRAHI,KHRY,0,CR
01004,SWV DR SPL,LUSA,LUSA,0,CR
01004,SWV DR SPL,SAKTESGARH,SKGH,0,CR
01004,SWV DR SPL,VISHWANATH PURI,VWP,0,CR
01004,SWV DR SPL,CHUNAR,CAR,0,CR
01004,SWV DR SPL,MIRZAPUR,MZP,0,CR
01004,SWV DR SPL,VINDHYACHAL,BDL,0,CR
01004,SWV DR SPL,MANDA ROAD,MNF,0,CR
01004,SWV DR SPL,MEJA ROAD,MJA,0,CR
01004,SWV DR SPL,NAINI,NYN,0,CR
01004,SWV DR SPL,PRAYAGRAJ JN,PRYJ,0,CR
01004,SWV DR SPL,AHMEDABAD JN,ADI,0,CR
01004,SWV DR SPL,VADODARA JN,BRC,13,CR
01004,SWV DR SPL,UDHNA JN,UDN,44,CR
01004,SWV DR SPL,VAPI,VAPI,62,CR
01004,SWV DR SPL,VASAI ROAD,BSR,68,CR
01004,SWV DR SPL,BHIWANDI ROAD,BIRD,58,CR
01004,SWV DR SPL,THANE,TNA,32,CR
01004,SWV DR SPL,LOKMANYATILAK T,LTT,0,CR
01008,DECCAN EXPRESS,VELANKANNI,VLNK,1,CR
01008,DECCAN EXPRESS,NAGAPPATTINAM,NGT,24,CR
01008,DECCAN EXPRESS,THIRUVARUR JN,TVR,18,CR
01008,DECCAN EXPRESS,THANJAVUR,TJ,26,CR
01008,DECCAN EXPRESS,TIRUCHCHIRAPALI,TPJ,9,CR
01008,DECCAN EXPRESS,KARUR,KRR,37,CR
01008,DECCAN EXPRESS,ERODE JN,ED,25,CR
01008,DECCAN EXPRESS,TIRUPPUR,TUP,27,CR
01008,DECCAN EXPRESS,COIMBATORE JN,CBE,19,CR
01008,DECCAN EXPRESS,PALAKKAD JN,PGT,11,CR
01008,DECCAN EXPRESS,SHORANUR JN,SRR,23,CR
01008,DECCAN EXPRESS,TIRUR,TIR,18,CR
01008,DECCAN EXPRESS,KOZHIKODE,CLT,11,CR
01008,DECCAN EXPRESS,THALASSERY,TLY,14,CR
01008,DECCAN EXPRESS,KANNUR,CAN,7,CR
01008,DECCAN EXPRESS,PAYYANUR,PAY,11,CR
01008,DECCAN EXPRESS,KASARAGOD,KGQ,3,CR
01008,DECCAN EXPRESS,MANGALORE JN,MAJN,0,CR
01008,DECCAN EXPRESS,SURATHKAL,SL,9,CR
01008,DECCAN EXPRESS,UDUPI,UD,30,CR
01008,DECCAN EXPRESS,KUNDAPURA,KUDA,32,CR
01008,DECCAN EXPRESS,MOOKAMBIKA ROAD,BYNR,21,CR
01008,DECCAN EXPRESS,BHATKAL,BTJL,29,CR
01008,DECCAN EXPRESS,MURDESHWAR,MRDW,25,CR
01008,DECCAN EXPRESS,HONNAVAR,HNA,18,CR
01008,DECCAN EXPRESS,KUMTA,KT,20,CR
01008,DECCAN EXPRESS,KARWAR,KAWR,13,CR
01029,KOYNA SPL,SOLAPUR JN,SUR,0,CR
01029,KOYNA SPL,KURDUVADI,KWV,10,CR
01029,KOYNA SPL,DAUND JN,DD,6,CR
01029,KOYNA SPL,AHMADNAGAR,ANG,28,CR
01029,KOYNA SPL,BELAPUR,BAP,35,CR
01029,KOYNA SPL,KOPARGAON,KPG,20,CR
01029,KOYNA SPL,MANMAD JN,MMR,30,CR
01029,KOYNA SPL,CHALISGAON JN,CSN,48,CR
01029,KOYNA SPL,PACHORA JN,PC,112,CR
01029,KOYNA SPL,JALGAON JN,JL,84,CR
01029,KOYNA SPL,BHUSAVAL JN,BSL,92,CR
01029,KOYNA SPL,MALKAPUR,MKU,106,CR
01029,KOYNA SPL,NANDURA,NN,108,CR
01029,KOYNA SPL,SHEGAON,SEG,97,CR
01029,KOYNA SPL,AKOLA JN,AK,89,CR
01029,KOYNA SPL,MURTAJAPUR,MZR,54,CR
01029,KOYNA SPL,BADNERA JN,BD,61,CR
01029,KOYNA SPL,CHANDUR,CND,89,CR
01029,KOYNA SPL,DHAMANGAON,DMN,89,CR
01029,KOYNA SPL,PULGAON JN,PLO,93,CR
01029,KOYNA SPL,WARDHA JN,WR,97,CR
01029,KOYNA SPL,SEVAGRAM,SEGM,96,CR
01029,KOYNA SPL,SINDI,SNI,103,CR
01029,KOYNA SPL,AJNI,AJNI,99,CR
01029,KOYNA SPL,NAGPUR,NGP,97,CR
01041,DR SNSI SPECIAL,,,,
01042,SNSI DR SPECIAL,,,,
01095,ADI PUNE SF SPL,,,,
01131,DR RN SPL,LOKMANYATILAK T,LTT,14,CR
01131,DR RN SPL,THANE,TNA,12,CR
01131,DR RN SPL,PANVEL,PNVL,12,CR
01131,DR RN SPL,PEN,PEN,19,CR
01131,DR RN SPL,ROHA,ROHA,3,CR
01131,DR RN SPL,MANGAON,MNI,12,CR
01131,DR RN SPL,KHED,KHED,54,CR
01131,DR RN SPL,CHIPLUN,CHI,58,CR
01131,DR RN SPL,SANGMESHWAR,SGR,76,CR
01131,DR RN SPL,RATNAGIRI,RN,105,CR
01131,DR RN SPL,ADAVALI,ADVI,108,CR
01131,DR RN SPL,VILAVADE,VID,107,CR
01131,DR RN SPL,RAJAPUR ROAD,RAJP,94,CR
01131,DR RN SPL,VAIBHAVWADI RD,VBW,97,CR
01131,DR RN SPL,KANKAVALI,KKW,108,CR
01131,DR RN SPL,SINDHUDURG,SNDD,107,CR
01131,DR RN SPL,KUDAL,KUDL,101,CR
01131,DR RN SPL,SAWANTWADI ROAD,SWV,32,CR
01132,RN DR SPL,NAGPUR,NGP,24,CR
01132,RN DR SPL,BUTI BORI,BTBR,22,CR
01132,RN DR SPL,SEVAGRAM,SEGM,50,CR
01132,RN DR SPL,PULGAON JN,PLO,69,CR
01132,RN DR SPL,DHAMANGAON,DMN,78,CR
01132,RN DR SPL,CHANDUR,CND,77,CR
01132,RN DR SPL,BADNERA JN,BD,98,CR
01132,RN DR SPL,MURTAJAPUR,MZR,81,CR
01132,RN DR SPL,AKOLA JN,AK,82,CR
01221,NZM RAJDHANI SPL,,,,
01222,CSMT RAJDNI SPL,,,,
01223,ERS DURONTO SPL,,,,
01265,MML ABKP SPL,,,,
