Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
69222,CBY ANND MEMU,KHAMBHAT,CBY,0,WR
69222,CBY ANND MEMU,KALITALAVDI,KLWD,0,WR
69222,CBY ANND MEMU,SAYAMA,SAY,0,WR
69222,CBY ANND MEMU,YAWARPURA,YVP,0,WR
69222,CBY ANND MEMU,TARAPUR JN,TRP,0,WR
69222,CBY ANND MEMU,NAR TOWN,NTN,0,WR
69222,CBY ANND MEMU,PANDORI,PNDR,0,WR
69222,CBY ANND MEMU,PETLAD JN,PTD,3,WR
69222,CBY ANND MEMU,BHATIEL,BHAL,3,WR
69222,CBY ANND MEMU,AGAS,AGAS,2,WR
69222,CBY ANND MEMU,KARAMSAD,KRYR,1,WR
69222,CBY ANND MEMU,VALLABH VDYANGR,VLYN,1,WR
